Id,ClaseMS,ZonificaciónMS,FrenteLote,ÁreaLote,Calle,Callejón,FormaLote,ContornoTerreno,Servicios,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,ÁreaPiscina,CalidadPiscina,Cerca,CaracterísticaMiscelánea,ValorMisceláneo,MesVenta,AñoVenta,TipoVenta,CondiciónVenta,PrecioVenta
1,60,Residencial baja densidad,65.0,8450,Pavimentada,,Regular,Nivelado,Todos los servicios públicos,Interior,Suave,CollgCr,Normal,Normal,Unifamiliar,2 plantas,7,5,2003,2003,A dos aguas,Teja compuesta,Revestimiento vinilo,Revestimiento vinilo,Ladrillo a la vista,196.0,Gd,TA,Hormigón vertido,Gd,TA,No,GLQ,706,Unf,0,150,856,Gas aire forzado,Excelente,Sí,Disyuntores estándar,856,854,0,1710,1,0,2,1,3,1,Gd,8,Típico,0,,Adosado,2003.0,Terminación regular,2,548,Típica/Aceptable,Típica/Aceptable,Sí,0,61,0,0,0,0,,,,0,2,2008,Escritura de garantía,Normal,208500
2,20,Residencial baja densidad,80.0,9600,Pavimentada,,Regular,Nivelado,Todos los servicios públicos,Frente a calle 2 lados,Suave,Veenker,Calle alimentadora,Normal,Unifamiliar,1 planta,6,8,1976,1976,A dos aguas,Teja compuesta,Revestimiento metal,Revestimiento metal,Ninguno,0.0,TA,TA,Bloque cemento,Gd,TA,Gd,ALQ,978,Unf,0,284,1262,Gas aire forzado,Excelente,Sí,Disyuntores estándar,1262,0,0,1262,0,1,2,0,3,1,TA,6,Típico,1,Típica/Aceptable,Adosado,1976.0,Terminación regular,2,460,Típica/Aceptable,Típica/Aceptable,Sí,298,0,0,0,0,0,,,,0,5,2007,Escritura de garantía,Normal,181500
3,60,Residencial baja densidad,68.0,11250,Pavimentada,,Irregular leve,Nivelado,Todos los servicios públicos,Interior,Suave,CollgCr,Normal,Normal,Unifamiliar,2 plantas,7,5,2001,2002,A dos aguas,Teja compuesta,Revestimiento vinilo,Revestimiento vinilo,Ladrillo a la vista,162.0,Gd,TA,Hormigón vertido,Gd,TA,Mn,GLQ,486,Unf,0,434,920,Gas aire forzado,Excelente,Sí,Disyuntores estándar,920,866,0,1786,1,0,2,1,3,1,Gd,6,Típico,1,Típica/Aceptable,Adosado,2001.0,Terminación regular,2,608,Típica/Aceptable,Típica/Aceptable,Sí,0,42,0,0,0,0,,,,0,9,2008,Escritura de garantía,Normal,223500
4,70,Residencial baja densidad,60.0,9550,Pavimentada,,Irregular leve,Nivelado,Todos los servicios públicos,Esquina,Suave,Crawfor,Normal,Normal,Unifamiliar,2 plantas,7,5,1915,1970,A dos aguas,Teja compuesta,Revestimiento madera,Tejas madera,Ninguno,0.0,TA,TA,Ladrillo-teja,TA,Gd,No,ALQ,216,Unf,0,540,756,Gas aire forzado,Buena,Sí,Disyuntores estándar,961,756,0,1717,1,0,1,0,3,1,Gd,7,Típico,1,Buena,Independiente,1998.0,Sin terminar,3,642,Típica/Aceptable,Típica/Aceptable,Sí,0,35,272,0,0,0,,,,0,2,2006,Escritura de garantía,Anormal,140000
5,60,Residencial baja densidad,84.0,14260,Pavimentada,,Irregular leve,Nivelado,Todos los servicios públicos,Frente a calle 2 lados,Suave,NoRidge,Normal,Normal,Unifamiliar,2 plantas,8,5,2000,2000,A dos aguas,Teja compuesta,Revestimiento vinilo,Revestimiento vinilo,Ladrillo a la vista,350.0,Gd,TA,Hormigón vertido,Gd,TA,Av,GLQ,655,Unf,0,490,1145,Gas aire forzado,Excelente,Sí,Disyuntores estándar,1145,1053,0,2198,1,0,2,1,4,1,Gd,9,Típico,1,Típica/Aceptable,Adosado,2000.0,Terminación regular,3,836,Típica/Aceptable,Típica/Aceptable,Sí,192,84,0,0,0,0,,,,0,12,2008,Escritura de garantía,Normal,250000
6,50,Residencial baja densidad,85.0,14115,Pavimentada,,Irregular leve,Nivelado,Todos los servicios públicos,Interior,Suave,Mitchel,Normal,Normal,Unifamiliar,1.5 planta terminado,5,5,1993,1995,A dos aguas,Teja compuesta,Revestimiento vinilo,Revestimiento vinilo,Ninguno,0.0,TA,TA,Madera,Gd,TA,No,GLQ,732,Unf,0,64,796,Gas aire forzado,Excelente,Sí,Disyuntores estándar,796,566,0,1362,1,0,1,1,1,1,TA,5,Típico,0,,Adosado,1993.0,Sin terminar,2,480,Típica/Aceptable,Típica/Aceptable,Sí,40,30,0,320,0,0,,MnPrv,Shed,700,10,2009,Escritura de garantía,Normal,143000
7,20,Residencial baja densidad,75.0,10084,Pavimentada,,Regular,Nivelado,Todos los servicios públicos,Interior,Suave,Somerst,Normal,Normal,Unifamiliar,1 planta,8,5,2004,2005,A dos aguas,Teja compuesta,Revestimiento vinilo,Revestimiento vinilo,Piedra,186.0,Gd,TA,Hormigón vertido,Ex,TA,Av,GLQ,1369,Unf,0,317,1686,Gas aire forzado,Excelente,Sí,Disyuntores estándar,1694,0,0,1694,1,0,2,0,3,1,Gd,7,Típico,1,Buena,Adosado,2004.0,Terminación regular,2,636,Típica/Aceptable,Típica/Aceptable,Sí,255,57,0,0,0,0,,,,0,8,2007,Escritura de garantía,Normal,307000
8,60,Residencial baja densidad,,10382,Pavimentada,,Irregular leve,Nivelado,Todos los servicios públicos,Esquina,Suave,NWAmes,Posición positiva cerca de parque,Normal,Unifamiliar,2 plantas,7,6,1973,1973,A dos aguas,Teja compuesta,Tablero duro,Tablero duro,Piedra,240.0,TA,TA,Bloque cemento,Gd,TA,Mn,ALQ,859,BLQ,32,216,1107,Gas aire forzado,Excelente,Sí,Disyuntores estándar,1107,983,0,2090,1,0,2,1,3,1,TA,7,Típico,2,Típica/Aceptable,Adosado,1973.0,Terminación regular,2,484,Típica/Aceptable,Típica/Aceptable,Sí,235,204,228,0,0,0,,,Shed,350,11,2009,Escritura de garantía,Normal,200000
9,50,Residencial media densidad,51.0,6120,Pavimentada,,Regular,Nivelado,Todos los servicios públicos,Interior,Suave,OldTown,Calle principal,Normal,Unifamiliar,1.5 planta terminado,7,5,1931,1950,A dos aguas,Teja compuesta,Ladrillo a la vista,Tejas madera,Ninguno,0.0,TA,TA,Ladrillo-teja,TA,TA,No,Unf,0,Unf,0,952,952,Gas aire forzado,Buena,Sí,Fusibles frecuentes,1022,752,0,1774,0,0,2,0,2,2,TA,8,Mínimo 1,2,Típica/Aceptable,Independiente,1931.0,Sin terminar,2,468,Regular,Típica/Aceptable,Sí,90,0,205,0,0,0,,,,0,4,2008,Escritura de garantía,Anormal,129900
10,190,Residencial baja densidad,50.0,7420,Pavimentada,,Regular,Nivelado,Todos los servicios públicos,Esquina,Suave,BrkSide,Calle principal,Calle principal,Duplex convertido,1.5 planta sin terminar,5,6,1939,1950,A dos aguas,Teja compuesta,Revestimiento metal,Revestimiento metal,Ninguno,0.0,TA,TA,Ladrillo-teja,TA,TA,No,GLQ,851,Unf,0,140,991,Gas aire forzado,Excelente,Sí,Disyuntores estándar,1077,0,0,1077,1,0,1,0,2,2,TA,5,Típico,2,Típica/Aceptable,Adosado,1939.0,Terminación regular,1,205,Buena,Típica/Aceptable,Sí,0,4,0,0,0,0,,,,0,1,2008,Escritura de garantía,Normal,118000
